post_id,comments,likes,date,shares
104958196201736_1923874287643442,1,2,2021-01-25 00:00:00,1
104958196201736_1923899940974210,100,12000,2021-01-25 00:00:00,10
104958196201736_1923784607652410,4,3,2021-01-25 00:00:00,5
